postal_code,centroid_lat,centroid_lng
04811,37.503385,-2.2125031909999
04812,37.443392395,-2.17995
04813,37.488335642,-2.1451499999999
04814,37.40923,-2.113945631
04815,37.34927,-2.1393902789999
04820,37.64821,-2.125117695
04825,37.60516,-2.278269899
04826,37.623225,-2.106572451
04827,37.58777,-2.062699381
04828,37.552435,-2.0822612499999
04829,37.58538,-1.992928306
04830,37.770635,-2.111933348
04838,37.71179,-2.158420011
04839,37.806855,-2.2593111599999
04850,37.34874,-2.197329484
04857,37.281787193,-2.183885
04858,37.293345261,-2.159465
04859,37.274952965,-2.2166149999999
04860,37.378271118,-2.305755
04867,37.307924735,-2.305445
04868,37.303674214,-2.340325
04869,37.366527303,-2.268565
04870,37.333912528,-2.3584949999999
04877,37.399548704,-2.3951299999999
04878,37.302493069,-2.38983
04879,37.393625,-2.350216669
04880,37.344495,-2.4330893109999
04887,37.418198673,-2.470225
04888,37.3301,-2.4435753949999
04889,37.252285,-2.483857793
04890,37.30118,-2.5185387679999
04897,37.333437144,-2.601165
04898,37.38443,-2.583734222
04899,37.393562798,-2.545245
05001,40.656825,-4.6952545359999
05002,40.613135,-4.733283231
05003,40.64202865,-4.66795
05004,40.651345,-4.6429190919999
05005,40.675082379,-4.693395
05100,40.38709,-4.6862075179999
05110,40.49347,-4.6023654209999
05111,40.469546966,-4.6734049999999
05112,40.41995,-4.630846929
05113,40.36553,-4.768186731
05114,40.370776157,-4.8300599999999
05115,40.34635,-4.8859396199999
05120,40.45944,-4.80623664
05122,40.41224,-4.8608907409999
05123,40.411155,-4.967169289
05130,40.53927,-4.9107092109999
05131,40.516335,-4.9861414649999
05132,40.365685764,-5.0546249999999
05133,40.426165,-5.1774049269999
05134,40.4549,-4.9632524199999
05140,40.679717639,-4.8143049999999
05141,40.694725,-4.896732987
05143,40.668135,-5.0130610599999
05145,40.657712021,-5.0618449999999
05146,40.783265,-5.0736666619999
05147,40.69565,-5.126739953
05148,40.700071316,-5.19854
05149,40.740954843,-5.0054099999999
05150,40.6759809,-5.269505
05151,40.65462,-5.3343008439999
05152,40.61969,-5.377111882
05153,40.533211092,-5.345751
05154,40.565965,-5.477953731
05160,40.711605,-4.7681111049999
05162,40.801675,-4.771203393
05163,40.79569,-4.725479949
05164,40.843515,-4.7776407019999
05165,40.927245,-4.744028353
05166,40.892465,-4.716210614
05190,40.54166,-4.7458706149999
05191,40.557184362,-4.829535
05192,40.636745,-4.7994064279999
05193,40.711705,-4.486926341
05194,40.701415,-4.600198722
05195,40.6579,-4.50625474
05196,40.60291,-4.617278341
05197,40.635345,-4.7004693119999
05198,40.517245,-4.853164609
05200,41.059387999,-4.7350799999999
05210,41.068605,-5.1061483779999
05211,40.97845,-4.9728713489999
05212,41.008385,-4.9109906599999
05213,41.00236,-4.856306526
05214,40.920422736,-4.6440699999999
05215,41.103225,-4.772328482
05216,40.99781,-4.768752266
05217,40.94043,-4.862824502
05220,41.096265,-5.018214461
05229,41.067495,-4.918285097
05230,40.592165,-4.3220166629999
05239,40.650185,-4.239591016
05240,40.5921,-4.442955485
05250,40.50022,-4.3862053139999
05260,40.45853,-4.425408638
05267,40.53581,-4.508909054
05268,40.56199,-4.5720331819999
05270,40.404325,-4.5103899119999
05278,40.38334,-4.5805771199999
05279,40.371605,-4.4836101719999
05280,40.761365,-4.668089048
05289,40.75475,-4.59732213
05290,40.88753,-4.615435525
05291,40.82687,-4.5702339229999
05292,40.822815,-4.6414626669999
05294,40.59609602,-4.49601
05296,40.98025478,-4.630935
05298,41.019815,-5.045911142
05299,41.12891,-4.9832757689999
05300,40.862871352,-4.9712049999999
05301,40.92437,-5.0306491819999
05309,40.856190622,-4.9338149999999
05310,40.926095,-4.956549035
05320,40.736385,-4.736515346
05350,40.795908017,-4.87062
05357,40.76562,-4.9496410849999
05358,40.863222583,-4.85694
05369,40.8505,-5.062309979
05370,40.938505,-5.082294095
05380,40.877055,-5.1104446869999
05400,40.146451662,-5.14336
05410,40.253517194,-5.03178
05412,40.280000788,-4.96064
05413,40.327429147,-4.982135
05414,40.295695,-5.031023499
05415,40.26297,-5.143269752
05416,40.2787,-5.090255869
05417,40.232066059,-5.14888
05418,40.15694,-4.995867075
05420,40.288190937,-4.5984399999999
05427,40.23322,-4.623235865
05428,40.32967,-4.5747911669999
05429,40.34308,-4.4983698259999
05430,40.311680115,-4.65667
05440,40.317535,-4.705541872
05450,40.300393609,-4.767895
05460,40.283874815,-4.8721699999999
05461,40.282391459,-4.84108
05470,40.243865,-4.917886962
05480,40.179350698,-5.274335
05489,40.16948,-5.3339099589999
05490,40.188345,-4.9340266799999
05491,40.193735,-5.0121591349999
05492,40.17055,-5.1625146929999
05500,40.466997306,-5.318975
05510,40.50701,-5.41489554
05514,40.530564088,-5.26206
05515,40.47152,-5.3547073629999
05516,40.469165,-5.4085128859999
05520,40.62467,-4.859707778
05530,40.599565,-4.9195637899999
05540,40.600375,-5.0123111
05560,40.565228351,-5.09642
05571,40.50357,-5.168785323
05580,40.383965,-5.4212685599999
05591,40.58512,-5.196501848
05592,40.42744,-5.3317070869999
05593,40.41779,-5.404029454
05600,40.35417,-5.517758687
05610,40.38648,-5.623971538
05619,40.444550755,-5.625685
05620,40.354520539,-5.559115
05621,40.30513784,-5.6546499999999
05630,40.315170274,-5.382785
05631,40.334514945,-5.301645
05633,40.382580034,-5.245445
05634,40.329678402,-5.178645
05635,40.349330699,-5.1153399999999
05690,40.302793,-5.442698908
05691,40.349583913,-5.60106
05692,40.397171136,-5.53791
05693,40.295780602,-5.5839599999999
05694,40.413826327,-5.563815
05695,40.4379,-5.4647734509999
05696,40.391249338,-5.496545
05697,40.269565,-5.5135336399999
06001,38.879758,-6.9732044269999
06002,38.87899,-6.9671972589999
06003,38.873985,-6.966474853
06004,38.87225,-6.97485683
06005,38.8759355,-6.978593937
06006,38.904444586,-7.0162499689999
06007,38.9742,-6.7790695469999
06008,38.88874,-6.91424875
06009,38.84601,-6.888560979
06010,38.71918,-6.94005693
06011,38.80540051,-7.0785144019999
06050,38.8831445,-6.81387187
06100,38.708245727,-7.141355
06105,38.54958,-7.257963025
06106,38.614,-7.1857573799999
06107,38.701185,-7.2252406539999
06108,38.602731771,-7.03901
06109,38.7137,-7.070211479
06110,38.376095,-7.1319707489999
06120,38.251555,-6.9944525139999
06129,38.330864804,-6.9917649999999
06130,38.666095,-6.976535768
06131,38.522475,-7.129979449
06132,38.418905,-7.003179142
06133,38.523596389,-7.0044649999999
06134,38.241731706,-7.1019899999999
06140,38.8657,-6.76580875
06150,38.644294207,-6.6459899999999
06160,38.51059,-6.88325329
06170,38.75739,-6.757105995
06171,38.611666506,-6.839305
06172,38.649015,-6.767356498
06173,38.575428269,-6.75064
06174,38.513285369,-6.7836849999999
06175,38.50266,-6.68467587
06176,38.54127,-6.616870175
06177,38.385275,-6.7984454589999
06178,38.36593,-6.7887808039999
06180,38.94255,-6.964202202
06181,39.003175,-6.7079048749999
06182,38.94948,-6.747614906
06183,38.928391736,-6.841868635
06184,38.927265,-6.762548635
06185,38.88864,-6.694241791
06186,38.935695,-6.68143578
06187,38.85091,-6.6781191759999
06190,39.0921,-6.6612904409999
06191,39.178675,-6.6294119369999
06192,39.117200727,-6.82733
06193,39.101286034,-6.748143381
06194,38.985715,-6.8878012329999
06195,38.879715805,-6.8556399999999
06196,38.729545,-6.6583646039999
06197,38.714246084,-6.7032649999999
06200,38.698166987,-6.41781
06207,38.660887644,-6.4869849999999
06208,38.615035247,-6.5453649999999
06209,38.74017,-6.570931457
06210,38.79228,-6.3747669389999
06220,38.585101069,-6.34163
06225,38.538409144,-6.2413099999999
06226,38.478245,-6.1905288199999
06227,38.46345,-6.070762074
06228,38.566655,-6.04539826
06229,38.593735,-6.213665222
06230,38.468825,-6.3294319839999
06240,38.22242,-6.2661283329999
06249,38.319,-6.3103181709999
06250,38.316675,-6.199576662
06260,38.05396,-6.2059778989999
06270,38.147955,-6.4434683609999
